"Austin, TX";"Longitude=97°48'48""West";"Latitude=+30°17'44""";"Time zone=CST"
"Moon";"Date Coord.";"";"";"";"";"";"";"";"";""
"4h30m UT";"RA";"DE";"Magn.";"Diam.";"Illum.";"Rise";"Culmination";"Set";"Az";"Alt"
"2021-04-15";"  3h45m06.8s";"+18°18'03""";"-7.0";"1760.0";"0.08";"  9h14m";" 16h16m";" 23h24m";"+299°59'";"-11°45'"
"2021-04-16";"  4h33m28.4s";"+21°29'54""";"-7.8";"1768.6";"0.14";"  9h52m";" 17h04m";"      ";"+296°25'";"-01°21'"
"2021-04-17";"  5h24m02.2s";"+23°47'39""";"-8.4";"1781.5";"0.21";" 10h36m";" 17h54m";"  0h19m";"+292°44'";"+08°28'"
"2021-04-18";"  6h16m37.1s";"+25°01'40""";"-9.0";"1799.2";"0.30";" 11h26m";" 18h45m";"  1h13m";"+288°36'";"+18°49'"
"2021-04-19";"  7h10m42.2s";"+25°04'08""";"-9.5";"1821.7";"0.39";" 12h20m";" 19h38m";"  2h04m";"+283°38'";"+29°12'"
"2021-04-20";"  8h05m33.0s";"+23°50'17""";"-10.0";"1848.9";"0.49";" 13h19m";" 20h30m";"  2h52m";"+277°10'";"+39°33'"
"2021-04-21";"  9h00m25.1s";"+21°19'21""";"-10.4";"1880.1";"0.59";" 14h20m";" 21h22m";"  3h37m";"+267°54'";"+49°36'"
"2021-04-22";"  9h54m47.5s";"+17°35'04""";"-10.9";"1913.9";"0.69";" 15h24m";" 22h13m";"  4h16m";"+253°17'";"+58°43'"
"2021-04-23";" 10h48m32.2s";"+12°45'33""";"-11.1";"1948.1";"0.79";" 16h28m";" 23h03m";"  4h54m";"+229°09'";"+65°11'"
"2021-04-24";" 11h41m55.9s";"+07°03'26""";"-11.5";"1979.8";"0.88";" 17h35m";" 23h54m";"  5h30m";"+196°20'";"+65°57'"
"2021-04-25";" 12h35m35.9s";"+00°46'01""";"-11.9";"2005.7";"0.94";" 18h42m";"      ";"  6h05m";"+168°22'";"+59°58'"
"2021-04-26";" 13h30m22.3s";"-05°44'34""";"-12.3";"2022.4";"0.99";" 19h52m";"  0h46m";"  6h41m";"+150°41'";"+49°51'"
"2021-04-27";" 14h27m07.1s";"-12°01'47""";"-12.7";"2027.5";"1.00";" 21h04m";"  1h40m";"  7h20m";"+139°24'";"+37°51'"
"2021-04-28";" 15h26m27.8s";"-17°36'32""";"-12.3";"2020.1";"0.98";" 22h17m";"  2h37m";"  8h04m";"+131°18'";"+25°06'"
"2021-04-29";" 16h28m27.5s";"-22°00'44""";"-11.8";"2001.4";"0.94";" 23h29m";"  3h37m";"  8h53m";"+124°44'";"+12°13'"
"2021-04-30";" 17h32m17.0s";"-24°52'19""";"-11.4";"1973.9";"0.87";"      ";"  4h39m";"  9h48m";"+118°46'";"+00°00'"
"2021-05-01";" 18h36m16.9s";"-26°00'12""";"-11.1";"1940.9";"0.78";"  0h34m";"  5h42m";" 10h49m";"+112°49'";"-12°15'"
"2021-05-02";" 19h38m28.5s";"-25°26'26""";"-10.8";"1906.0";"0.68";"  1h34m";"  6h42m";" 11h52m";"+106°20'";"-23°57'"
"2021-05-03";" 20h37m17.7s";"-23°23'53""";"-10.3";"1871.8";"0.57";"  2h24m";"  7h38m";" 12h56m";"+98°40'";"-34°48'"
"2021-05-04";" 21h32m01.6s";"-20°11'04""";"-9.8";"1840.5";"0.46";"  3h07m";"  8h30m";" 13h58m";"+88°57'";"-44°35'"
"2021-05-05";" 22h22m46.7s";"-16°07'04""";"-9.4";"1813.3";"0.36";"  3h44m";"  9h17m";" 14h57m";"+75°55'";"-52°53'"
"2021-05-06";" 23h10m11.2s";"-11°28'45""";"-8.8";"1790.9";"0.27";"  4h16m";" 10h01m";" 15h53m";"+58°07'";"-58°54'"
"2021-05-07";" 23h55m08.1s";"-06°30'05""";"-8.3";"1773.3";"0.18";"  4h45m";" 10h43m";" 16h48m";"+35°46'";"-61°35'"
"2021-05-08";"  0h38m33.6s";"-01°22'37""";"-7.6";"1760.4";"0.12";"  5h14m";" 11h24m";" 17h41m";"+12°49'";"-60°16'"
